pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,,,,,13,0,52,3,785.2155929,786.2157996000024,786.2157996000024,786.2157996000024,786.2157996000024,786.2157996000024,787.2153541000444,787.2153541000444,z,1,1.431935100001283,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,13,1,53,2,788.6655392000102,789.6654532999964,789.6654532999964,789.6654532999964,789.6654532999964,789.6654532999964,790.6655254000216,790.6655254000216,c,1,0.8254628999857232,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,13,2,54,2,791.5157833000412,792.5157318999991,792.5157318999991,792.5157318999991,792.5157318999991,792.5157318999991,793.5155659000156,793.5155659000156,c,1,0.6821458000340499,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,13,3,55,2,794.2155137000373,795.2156364000402,795.2156364000402,795.2156364000402,795.2156364000402,795.2156364000402,796.2156303999946,796.2156303999946,c,1,0.5474852999905124,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,14,0,56,2,796.7823254000396,797.7824555000407,797.7824555000407,797.7824555000407,797.7824555000407,797.7824555000407,798.7824237000314,798.7824237000314,c,1,0.4044611999997869,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,14,1,57,3,799.2154308000463,800.1990482000401,800.1990482000401,800.1990482000401,800.1990482000401,800.2155500000226,801.1987896000501,801.1987896000501,z,1,2.8792166000348516,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,14,2,58,1,804.0991000999929,805.0988702000468,805.0988702000468,805.0988702000468,805.0988702000468,805.0988702000468,806.0990147000412,806.0990147000412,v,1,1.5336922000278719,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,14,3,59,1,807.649145900039,808.6488355000038,808.6488355000038,808.6488355000038,808.6488355000038,808.6488355000038,809.6486525000073,809.6486525000073,v,1,1.0977397999959067,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,15,0,60,1,810.7654384000343,811.7654475000454,811.7654475000454,811.7654475000454,811.7654475000454,811.7654475000454,812.7655882000108,812.7655882000108,v,1,2.065767199965194,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,15,1,61,2,814.8488210000214,815.8489678000333,815.8489678000333,815.8489678000333,815.8489678000333,815.8489678000333,816.848894900002,816.848894900002,c,1,2.2497686999849975,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
